date,open,high,low,close,volume
2015-11-16,79.65,80.72,78.02,78.77,493235
2015-11-17,79.17,80.39,78.4,79.01,434094
2015-11-18,79.02,79.15,77.9,78.79,428373
2015-11-19,78.51,78.74,77.02,78.19,351497
2015-11-20,78.65,81.75,78.27,81.24,511140
2015-11-23,80.96,82.7,80.12,81.73,305963
2015-11-24,81.05,81.73,80.19,81.5,182436
2015-11-25,81.34,83.02,81.09,82.08,263239
2015-11-27,82.38,84.45,82.38,83.49,170400
2015-11-30,83.28,84.65,81.45,81.57,339993
2015-12-01,81.75,84.24,81.01,83.84,276002
2015-12-02,84.1,85.8,83.51,84.72,601737
2015-12-03,85.35,85.77,78.7,79.0,572760
2015-12-04,78.92,80.75,77.72,80.5,356382
2015-12-07,80.0,81.15,78.53,79.82,346346
2015-12-08,79.33,86.73,78.77,86.4,901529
2015-12-09,86.36,87.99,82.37,82.78,522682
2015-12-10,82.95,84.93,82.2,84.63,352440
2015-12-11,83.3,84.5,81.86,82.98,448851
2015-12-14,82.68,82.99,80.21,80.7,349493
2015-12-15,81.42,84.93,81.06,84.43,374428
2015-12-16,85.38,86.99,84.01,86.54,357195
2015-12-17,87.0,87.7,84.8,85.67,278193
2015-12-18,85.8,88.88,85.8,87.6,638730
2015-12-21,87.6,89.19,86.94,88.32,424242
2015-12-22,88.21,88.45,85.05,87.68,313115
2015-12-23,87.73,89.85,87.23,88.25,303095
2015-12-24,88.47,91.38,88.2,90.33,203628
2015-12-28,89.81,90.48,88.22,88.97,288400
2015-12-29,89.46,92.99,88.8,92.83,321827
2015-12-30,92.41,92.94,91.01,92.12,245852
2015-12-31,91.55,92.07,90.19,90.28,491721
2016-01-04,88.8,89.42,84.77,85.24,638068
2016-01-05,85.2,87.3,83.74,85.0,469566
2016-01-06,84.01,87.13,83.75,85.3,607106
2016-01-07,83.71,84.88,81.92,81.92,565316
2016-01-08,82.66,85.71,82.66,84.58,643855
2016-01-11,85.13,86.46,83.02,85.0,654871
2016-01-12,87.56,90.82,86.28,88.32,993958
2016-01-13,88.96,90.71,85.52,85.81,543523
2016-01-14,86.1,88.41,83.21,87.88,578522
2016-01-15,85.16,87.82,84.55,87.41,604834
2016-01-19,88.6,88.96,84.28,86.25,426110
2016-01-20,84.75,84.79,79.19,83.17,942465
2016-01-21,83.42,84.0,81.46,82.94,606338
2016-01-22,84.23,86.76,83.63,86.68,563427
2016-01-25,86.66,90.46,86.52,89.29,662966
2016-01-26,89.52,90.23,85.98,86.62,588769
2016-01-27,86.53,87.1,83.02,83.35,419775
2016-01-28,83.79,84.75,80.22,81.77,515874
2016-01-29,81.96,85.49,81.34,85.33,608453
2016-02-01,84.13,86.12,82.01,85.46,389845
2016-02-02,84.87,85.25,83.74,84.48,405270
2016-02-03,84.89,87.0,83.73,84.81,974708
2016-02-04,89.52,92.57,87.26,92.0,2240756
2016-02-05,92.0,92.5,81.09,81.53,1516582
2016-02-08,80.59,81.38,67.81,71.16,2753062
2016-02-09,70.5,72.94,68.54,71.0,879895
2016-02-10,71.98,73.98,71.55,72.38,582895
2016-02-11,70.84,73.22,69.14,72.77,611509
2016-02-12,73.44,74.37,70.75,73.03,860870
2016-02-16,74.0,78.78,73.72,78.36,711196
2016-02-17,78.68,79.98,77.0,77.45,697012
2016-02-18,77.77,80.41,77.77,79.51,913807
2016-02-19,79.1,81.68,78.46,81.32,423619
2016-02-22,81.89,82.99,80.5,82.45,389863
2016-02-23,82.52,83.73,81.59,82.07,406973
2016-02-24,80.54,81.42,79.23,80.89,970683
2016-02-25,81.2,82.38,81.0,82.0,533935
2016-02-26,82.33,82.55,80.35,80.65,460043
2016-02-29,80.4,81.33,79.87,80.01,542251
2016-03-01,80.75,84.18,79.62,83.99,602284
2016-03-02,84.15,84.15,81.79,82.21,475512
2016-03-03,82.04,83.19,81.38,83.06,338133
2016-03-04,82.71,84.96,81.76,84.0,496560
2016-03-07,84.09,85.74,82.86,85.18,370497
